Hylak_id,Lake_name,lake_class
992,Llanquihue,Cool temperate and moist
993,Yelcho,Cool temperate and moist
994,General Vintter,Cold and mesic
995,Musters,Cool temperate and xeric
996,Colhue Huapi,Cool temperate and xeric
997,Presidente Rios,Cold and wet
999,Cochrane,Cool temperate and dry
1001,Cardiel,Cool temperate and dry
1003,Toro,Cold and mesic
1004,Blanca,Cold and mesic
1005,Blanc,Cold and mesic
1006,Fagnano,Cold and mesic
2749,Brown,Extremely cold and mesic
3039,Imuruk Lake,Extremely cold and mesic
3411,St. Therese,Cold and mesic
3567,Lake Minchumina,Cold and mesic
3816,Tetlin Lake,Cold and mesic
4006,Lake Louise,Cold and mesic
4078,Nunavakanuk Lake,Extremely cold and mesic
4180,Klutina Lake,Extremely cold and mesic
4217,Arhymot Lake,Extremely cold and mesic
4232,Kgun Lake,Extremely cold and mesic
4246,Nuigalak Lake,Extremely cold and mesic
4309,Whitefish Lake,Extremely cold and mesic
4354,Chakachamna Lake,Extremely cold and mesic
4401,Takslesluk Lake,Extremely cold and mesic
4483,Nunavakanukakslak Lake,Extremely cold and mesic
4577,Kenai Lake,Cold and mesic
4605,Skilak Lake,Cold and mesic
4622,Kegum Kagati Lake,Extremely cold and mesic
4689,Chikuminuk Lake,Extremely cold and mesic
4754,Couture,Extremely cold and mesic
4882,Lake Beverley,Extremely cold and mesic
4974,Lake Aleknagik,Extremely cold and mesic
5008,Nunavaugaluk Lake,Extremely cold and mesic
5130,Tasiataq,Extremely cold and mesic
5203,Lake Brooks,Extremely cold and mesic
5671,Kamuchawie,Cold and mesic
5911,Sisipuk,Cold and mesic
6236,Keeley,Cold and mesic
6334,Kistigan,Cold and mesic
6721,La Grande 1,Extremely cold and mesic
6821,Wabamun,Cold and mesic
7012,Brazeau Reservoir,Cold and mesic
7014,Pigeon,Cold and mesic
7035,Brazeau Canal,Cold and mesic
7243,Abraham,Cold and mesic
7274,Charlotte,Cold and mesic
7547,Lake Minnewanka,Cold and mesic
7658,Spray Lake,Extremely cold and mesic
7728,Seton Lake,Cool temperate and dry
7874,Duncan,Cold and mesic
7886,Waconich,Cold and mesic
7960,Grasset,Cold and mesic
7974,Whatshan Lake,Cold and mesic
8052,Outardes 3,Cold and mesic
8171,Outardes 2,Cold and mesic
8212,Deer,Cold and mesic
8219,Osoyoos Lake,Cool temperate and xeric
8267,La Mothe,Cold and mesic
8278,White Lake,Cold and mesic
8282,J. Clark Salyer Reservoir,Cool temperate and dry
8286,Fresno,Cool temperate and dry
8297,Nelson,Cool temperate and dry
8306,Priest Lake,Cool temperate and dry
8313,Lake Darling,Cool temperate and dry
8339,Hungry Horse,Cold and mesic
8343,Lake Elwell,Cool temperate and dry
8346,Agassiz Pool,Cool temperate and dry
8349,Lac Kenogami,Cold and mesic
8358,Lake Alice,Cool temperate and dry
8394,Basswood Lake,Cool temperate and dry
8395,Nett Lake River,Cool temperate and dry
8478,Lake Washington,Warm temperate and mesic
8501,Cass Lake,Cool temperate and dry
8506,Upper Cushman,Cool temperate and moist
8533,Kachess Lake,Cold and mesic
8535,Cle Elum Lake,Cold and mesic
8538,Mitchinamecus,Cold and mesic
8556,Moses Lake,Cool temperate and xeric
8565,Lake Ashtabula,Cool temperate and dry
8580,Potholes,Cool temperate and xeric
8606,Teaureau,Cold and mesic
8617,Sandy Lake Reservoir,Cool temperate and dry
8630,Pine River Reservoir,Cool temperate and dry
8643,Lake Tschida,Cool temperate and dry
8656,Dworshak Reservoir,Cool temperate and dry
8662,Eagle Lake,Cold and mesic
8668,Dead Lake,Cool temperate and dry
8674,Superior Falls,Cold and mesic
8675,Gull Lake Reservoir,Cool temperate and dry
8706,Georgetown Lake,Cold and mesic
8715,Michigamme Reservoir,Cold and mesic
8718,Chamberlain Lake,Cold and mesic
8723,Nelson Lake,Cool temperate and dry
8731,Turtle Flambeau Flowage,Cold and mesic
8743,Indian Lake,Cold and mesic
8744,Peavy Pond,Cool temperate and dry
8747,Brevoort Lake,Cool temperate and dry
8768,Winter,Cool temperate and dry
8786,Shadehill,Cool temperate and dry
8807,Elbow Lake,Cold and mesic
8819,Mullet Lake,Cool temperate and dry
8832,Harris,Cold and mesic
